"※ 2020년 말 현황을 기준으로 각 연도별 설치된 CCTV 수량. 교체(저화질교체, 성능개선)는 최초설치연도가 아닌 교체년도 수량에 포함",,,,,,,,,,,,
구분,총계,2011년 이전,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
계,"75,431","5,901","1,619","2,228",0,"4,368","6,742","8,300","10,100","9,687","11,657","10,232"
종로구,"1,729",216,7,10,582,210,150,1,259,85,9,200
중 구,"2,001",16,6,199,90,125,218,333,462,228,194,130
용산구,"2,383",31,3,71,234,125,221,298,351,125,307,617
성동구,"3,515",487,26,122,207,112,335,309,790,409,262,456
광진구,"2,556",11,24,57,100,187,98,52,675,465,712,175
동대문구,"2,315",960,130,146,60,29,111,233,136,197,209,104
중랑구,"3,285",298,21,23,253,88,138,159,152,173,"1,050",930
성북구,"3,754",42,41,87,174,230,323,587,461,860,716,233
강북구,"2,462",0,0,0,55,85,130,311,34,385,976,486
도봉구,"1,356",0,49,29,96,181,79,159,134,223,214,192
노원구,"2,282",0,0,90,105,109,605,405,256,201,240,271
은평구,"3,660",14,0,3,44,332,329,555,403,635,"1,057",288
서대문구,"2,939",386,179,233,214,114,109,277,415,246,328,438
마포구,"2,401",270,66,93,77,61,162,350,358,340,384,240
양천구,"3,307","1,217",282,175,201,173,193,351,120,142,255,198
강서구,"2,437",26,29,129,106,213,188,168,506,259,457,356
구로구,"4,075",643,209,216,349,187,268,326,540,488,434,415
금천구,"2,365",0,0,0,178,80,361,133,196,540,369,508
영등포구,"3,773",450,122,136,238,123,209,248,311,658,65,"1,213"
동작구,"2,262",165,73,93,29,503,130,254,278,255,242,240
관악구,"4,909",320,120,84,431,441,608,620,684,674,596,331
서초구,"3,730",0,117,72,93,71,563,516,1061,436,361,440
강남구,"6,645",62,61,72,368,455,845,"1,307","1,004",744,796,931
송파구,"2,743",64,9,61,86,85,215,146,241,542,"1,068",226
강동구,"2,547",223,45,27,227,49,154,202,273,377,356,614
